ambito_tasa,territorio_id,territorio_nombre,grupo_edad_id,sexo_id,tasa_asistencia,numerador,denominador,metrica,fuente_id,estado_dato
DEP,26007,Biedma,6_11,T,0.987,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26028,Florentino Ameghino,6_11,T,0.9890000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26021,Escalante,6_11,T,0.992,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26014,Cushamen,6_11,T,0.988,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26091,Sarmiento,6_11,T,0.991,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26084,Río Senguer,6_11,T,0.9840000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26077,Rawson,6_11,T,0.992,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26098,Tehuelches,6_11,T,0.995,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26105,Telsen,6_11,T,0.986,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26049,Gastre,12_14,F,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26042,Gaiman,12_14,F,0.9940000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26035,Futaleufú,12_14,F,0.993,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26070,Paso de Indios,12_14,F,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26063,Mártires,12_14,F,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26056,Languiñeo,12_14,F,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26007,Biedma,12_14,F,0.982,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26028,Florentino Ameghino,12_14,F,0.9790000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26021,Escalante,12_14,F,0.988,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26014,Cushamen,12_14,F,0.983,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26091,Sarmiento,12_14,F,0.988,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26084,Río Senguer,12_14,F,0.993,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26077,Rawson,12_14,F,0.992,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26098,Tehuelches,12_14,F,0.98,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26105,Telsen,12_14,F,0.971,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26049,Gastre,15_17,F,0.9259999999999999,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26042,Gaiman,15_17,F,0.97,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26035,Futaleufú,15_17,F,0.975,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26070,Paso de Indios,15_17,F,0.889,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26063,Mártires,15_17,F,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26056,Languiñeo,15_17,F,0.9840000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26007,Biedma,15_17,F,0.958,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26028,Florentino Ameghino,15_17,F,0.968,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
